Letters,Sounds,Letter_Classification,Mei_Uyirmei_Classification_Sound,Kuril_Nedil_Classification,,,,,,,,,,,
அ,Vowels ,Uyir_Eluthu,,Kuril_Eluthu,,,,,,,,,,,
ஆ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
இ,Vowels ,Uyir_Eluthu,,Kuril_Eluthu,,,,,,,,,,,
ஈ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
உ,Vowels ,Uyir_Eluthu,,Kuril_Eluthu,,,,,,,,,,,
ஊ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
எ,Vowels ,Uyir_Eluthu,,Kuril_Eluthu,,,,,,,,,,,
ஏ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
ஐ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
ஒ,Vowels ,Uyir_Eluthu,,Kuril_Eluthu,,,,,,,,,,,
ஓ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
ஔ,Vowels ,Uyir_Eluthu,,Nedil_Eluthu,,,,,,,,,,,
ஃ,Consonants ,Aayutha_Eluthu,,,,,,,,,,,,,
க்,Consonants ,Mei_Eluthu,vallinam,,,,,,,,,,,,
ங்,Consonants ,Mei_Eluthu,mellinam,,,,,,,,,,,,
ச்,Consonants ,Mei_Eluthu,vallinam,,,,,,,,,,,,
ஞ்,Consonants ,Mei_Eluthu,mellinam,,,,,,,,,,,,
ட்,Consonants ,Mei_Eluthu,vallinam,,,,,,,,,,,,
ண்,Consonants ,Mei_Eluthu,mellinam,,,,,,,,,,,,
த்,Consonants ,Mei_Eluthu,vallinam,,,,,,,,,,,,
ந்,Consonants ,Mei_Eluthu,mellinam,,,,,,,,,,,,
ப்,Consonants ,Mei_Eluthu,vallinam,,,,,,,,,,,,
ம்,Consonants ,Mei_Eluthu,mellinam,,,,,,,,,,,,
ய்,Consonants ,Mei_Eluthu,idaiyinam,,,,,,,,,,,,
ர்,Consonants ,Mei_Eluthu,idaiyinam,,,,,,,,,,,,
ல்,Consonants ,Mei_Eluthu,idaiyinam,,,,,,,,,,,,
வ்,Consonants ,Mei_Eluthu,idaiyinam,,,,,,,,,,,,
ழ்,Consonants ,Mei_Eluthu,idaiyinam,,,,,,,,,,,,
ள்,Consonants ,Mei_Eluthu,idaiyinam,,,,,,,,,,,,
ற்,Consonants ,Mei_Eluthu,vallinam,,,,,,,,,,,,
ன்,Consonants ,Mei_Eluthu,mellinam,,,,,,,,,,,,
க,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ங,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ச,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஞ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ட,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ண,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
த,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ந,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ப,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ம,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ய,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ர,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ல,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
வ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ழ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ள,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ற,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ன,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
கா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
பா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
யா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னா,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
கி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஙி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
சி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஞி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
டி,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
