words,count,book
படலம்,22,pmuni0135_01.html
பிள்ளை,17,pmuni0135_01.html
சிதம்பர,17,pmuni0135_01.html
போற்றி,15,pmuni0135_01.html
கழிநெடிலடி,12,pmuni0135_01.html
ஆசிரிய,12,pmuni0135_01.html
விருத்தம்,12,pmuni0135_01.html
மாதோ,12,pmuni0135_01.html
போல,12,pmuni0135_01.html
அடிகள்,11,pmuni0135_01.html
பற்பல,11,pmuni0135_01.html
மு,10,pmuni0135_01.html
என்ற,10,pmuni0135_01.html
ச,9,pmuni0135_01.html
க,9,pmuni0135_01.html
மணியே,9,pmuni0135_01.html
சிலபேர்,9,pmuni0135_01.html
திருமுகப்,8,pmuni0135_01.html
பி,8,pmuni0135_01.html
அறுசீர்க்,8,pmuni0135_01.html
எல்லாம்,8,pmuni0135_01.html
நாளும்,8,pmuni0135_01.html
உவந்து,8,pmuni0135_01.html
என்னும்,8,pmuni0135_01.html
அருளிய,7,pmuni0135_01.html
முதலியார்,7,pmuni0135_01.html
இரா,7,pmuni0135_01.html
பாடி,7,pmuni0135_01.html
வணங்கி,7,pmuni0135_01.html
பொ,7,pmuni0135_01.html
செய்து,7,pmuni0135_01.html
மன்னோ,7,pmuni0135_01.html
டோ,7,pmuni0135_01.html
சுவாமிகள்,7,pmuni0135_01.html
நிதியே,7,pmuni0135_01.html
இயற்றி,6,pmuni0135_01.html
குடும்ப,6,pmuni0135_01.html
முற்றும்,6,pmuni0135_01.html
என்று,6,pmuni0135_01.html
தன்னை,6,pmuni0135_01.html
என்றும்,6,pmuni0135_01.html
உள்ளது,6,pmuni0135_01.html
சிறந்த,6,pmuni0135_01.html
சு,6,pmuni0135_01.html
ஞான,6,pmuni0135_01.html
றோர்களும்,6,pmuni0135_01.html
என்ன,6,pmuni0135_01.html
கருணை,6,pmuni0135_01.html
எந்தாய்,6,pmuni0135_01.html
ஆ,6,pmuni0135_01.html
பா,6,pmuni0135_01.html
நின்று,6,pmuni0135_01.html
கொண்டு,6,pmuni0135_01.html
தானே,6,pmuni0135_01.html
றோரும்,6,pmuni0135_01.html
சாற்றுக்கவி,6,pmuni0135_01.html
காரண,6,pmuni0135_01.html
வாழ்க,6,pmuni0135_01.html
குருட்டாட்டம்,5,pmuni0135_01.html
பாடல்கள்,5,pmuni0135_01.html
இது,5,pmuni0135_01.html
காப்பு,5,pmuni0135_01.html
ஆகம,5,pmuni0135_01.html
ளோர்களும்,5,pmuni0135_01.html
குருநாதன்,5,pmuni0135_01.html
சிவகுருவே,5,pmuni0135_01.html
இல்லை,5,pmuni0135_01.html
செய்த,5,pmuni0135_01.html
என்றே,5,pmuni0135_01.html
பின்னர்,5,pmuni0135_01.html
வாழ்த்தி,5,pmuni0135_01.html
மாலை,5,pmuni0135_01.html
போற்றிநின்,5,pmuni0135_01.html
என்னே,5,pmuni0135_01.html
ஆசிரியர்,5,pmuni0135_01.html
நிலைமண்டில,5,pmuni0135_01.html
ஆசிரியப்பா,5,pmuni0135_01.html
உள்ளம்,5,pmuni0135_01.html
வடிவ,5,pmuni0135_01.html
மதுரைச்,5,pmuni0135_01.html
மாதபோ,5,pmuni0135_01.html
சாற்றுக்,4,pmuni0135_01.html
முதல்,4,pmuni0135_01.html
ஆயிரம்,4,pmuni0135_01.html
பதிப்பு,4,pmuni0135_01.html
புனித,4,pmuni0135_01.html
அடியேன்,4,pmuni0135_01.html
திருவளர்,4,pmuni0135_01.html
உற்ற,4,pmuni0135_01.html
