words,count,book
என்று,758,pmuni0206.html
சீதா,398,pmuni0206.html
ஒரு,311,pmuni0206.html
என்ன,280,pmuni0206.html
ராகவன்,274,pmuni0206.html
நான்,272,pmuni0206.html
என்றாள்,215,pmuni0206.html
தாரிணி,181,pmuni0206.html
சூரியா,161,pmuni0206.html
என்றான்,159,pmuni0206.html
கொண்டு,158,pmuni0206.html
இந்த,158,pmuni0206.html
நீ,156,pmuni0206.html
அந்த,155,pmuni0206.html
ஆனால்,138,pmuni0206.html
வந்து,136,pmuni0206.html
தான்,135,pmuni0206.html
வேண்டும்,131,pmuni0206.html
என்,116,pmuni0206.html
எனக்கு,112,pmuni0206.html
அவள்,109,pmuni0206.html
அது,108,pmuni0206.html
செய்து,101,pmuni0206.html
நீங்கள்,93,pmuni0206.html
இப்போது,90,pmuni0206.html
இரண்டு,87,pmuni0206.html
உன்,85,pmuni0206.html
பிறகு,80,pmuni0206.html
போய்,77,pmuni0206.html
சீதாவின்,74,pmuni0206.html
யார்,72,pmuni0206.html
கேட்டாள்,72,pmuni0206.html
இல்லை,72,pmuni0206.html
அவளுடைய,71,pmuni0206.html
பார்த்து,69,pmuni0206.html
போல்,68,pmuni0206.html
அம்மா,66,pmuni0206.html
மட்டும்,61,pmuni0206.html
வேறு,59,pmuni0206.html
அவன்,59,pmuni0206.html
ஏன்,58,pmuni0206.html
கூட,57,pmuni0206.html
ஒன்றும்,57,pmuni0206.html
அவர்கள்,55,pmuni0206.html
என்னுடைய,55,pmuni0206.html
இது,55,pmuni0206.html
உங்கள்,53,pmuni0206.html
தாயார்,53,pmuni0206.html
வந்தது,52,pmuni0206.html
சில,50,pmuni0206.html
ஏதோ,50,pmuni0206.html
கொஞ்சம்,50,pmuni0206.html
இங்கே,49,pmuni0206.html
சமயம்,48,pmuni0206.html
என்ற,48,pmuni0206.html
தன்,48,pmuni0206.html
சொல்லி,47,pmuni0206.html
எவ்வளவு,46,pmuni0206.html
அவ்வளவு,45,pmuni0206.html
தன்னுடைய,45,pmuni0206.html
சொல்ல,45,pmuni0206.html
ஏதாவது,45,pmuni0206.html
எதற்காக,45,pmuni0206.html
என்னை,45,pmuni0206.html
பற்றி,45,pmuni0206.html
என்பது,44,pmuni0206.html
விஷயம்,43,pmuni0206.html
ரொம்ப,43,pmuni0206.html
தாரிணியின்,42,pmuni0206.html
இன்னும்,42,pmuni0206.html
அப்போது,42,pmuni0206.html
நாம்,42,pmuni0206.html
எனக்குத்,42,pmuni0206.html
காமாட்சி,41,pmuni0206.html
எங்கே,41,pmuni0206.html
இருந்தது,40,pmuni0206.html
முடியாது,40,pmuni0206.html
எல்லாம்,40,pmuni0206.html
மாதிரி,40,pmuni0206.html
இவ்வளவு,40,pmuni0206.html
வந்த,40,pmuni0206.html
உடனே,39,pmuni0206.html
உனக்கு,39,pmuni0206.html
நேரம்,39,pmuni0206.html
வேண்டாம்,39,pmuni0206.html
அந்தப்,39,pmuni0206.html
சீதாவுக்கு,39,pmuni0206.html
ஸ்திரீ,39,pmuni0206.html
தெரிந்து,39,pmuni0206.html
கலியாணம்,38,pmuni0206.html
பேரில்,38,pmuni0206.html
ஒருவேளை,38,pmuni0206.html
மறுபடியும்,37,pmuni0206.html
ஒரே,37,pmuni0206.html
கேட்டான்,37,pmuni0206.html
பதில்,36,pmuni0206.html
சொல்லிக்,36,pmuni0206.html
வஸந்தி,35,pmuni0206.html
பெரிய,35,pmuni0206.html
அப்பா,35,pmuni0206.html
சத்தம்,35,pmuni0206.html
விட்டு,35,pmuni0206.html
தாஜ்மகால்,34,pmuni0206.html
இருக்கிறது,34,pmuni0206.html
போக,34,pmuni0206.html
பார்த்துக்,34,pmuni0206.html
முன்னால்,34,pmuni0206.html
எப்படி,34,pmuni0206.html
அப்படி,34,pmuni0206.html
நானும்,34,pmuni0206.html
உன்னுடைய,34,pmuni0206.html
பார்க்க,33,pmuni0206.html
வரையில்,33,pmuni0206.html
என்றும்,33,pmuni0206.html
கடிதம்,32,pmuni0206.html
போது,32,pmuni0206.html
இந்தப்,32,pmuni0206.html
சொன்னாள்,32,pmuni0206.html
அல்லது,32,pmuni0206.html
அவர்,32,pmuni0206.html
திரும்ப,32,pmuni0206.html
அம்மாள்,31,pmuni0206.html
அப்புறம்,31,pmuni0206.html
தடவை,31,pmuni0206.html
பார்த்த,31,pmuni0206.html
பேரும்,31,pmuni0206.html
திரும்பி,31,pmuni0206.html
நாள்,31,pmuni0206.html
அதை,31,pmuni0206.html
நடந்து,31,pmuni0206.html
நிருபமா,31,pmuni0206.html
நம்முடைய,30,pmuni0206.html
சரி,30,pmuni0206.html
இப்படி,30,pmuni0206.html
இவர்,30,pmuni0206.html
உள்ளுறை,29,pmuni0206.html
நல்ல,29,pmuni0206.html
மனதில்,29,pmuni0206.html
பெண்,29,pmuni0206.html
தாரிணியும்,29,pmuni0206.html
மின்பதிப்பு,28,pmuni0206.html
தோன்றியது,28,pmuni0206.html
அந்தக்,28,pmuni0206.html
தெரியும்,28,pmuni0206.html
யாரோ,28,pmuni0206.html
கூடாது,28,pmuni0206.html
அட்டவணைக்குத்,28,pmuni0206.html
தெரியாது,28,pmuni0206.html
அடிக்கடி,28,pmuni0206.html
கொண்டிருந்த,27,pmuni0206.html
பக்கத்தில்,27,pmuni0206.html
போலிருக்கிறது,27,pmuni0206.html
மூன்று,27,pmuni0206.html
இந்தச்,27,pmuni0206.html
பார்த்தாள்,27,pmuni0206.html
என்னமோ,27,pmuni0206.html
நினைவு,27,pmuni0206.html
ஒன்று,27,pmuni0206.html
அங்கே,26,pmuni0206.html
டில்லி,26,pmuni0206.html
தெரியுமா,26,pmuni0206.html
அல்லவா,26,pmuni0206.html
இனிமேல்,26,pmuni0206.html
கொண்டாள்,26,pmuni0206.html
அவனுடைய,26,pmuni0206.html
ராகவனுடைய,26,pmuni0206.html
குரலில்,26,pmuni0206.html
கொள்ள,26,pmuni0206.html
ரஜினிபூர்,25,pmuni0206.html
இருவரும்,25,pmuni0206.html
பழைய,25,pmuni0206.html
மேலே,25,pmuni0206.html
கிடையாது,25,pmuni0206.html
அதற்கு,25,pmuni0206.html
கையில்,25,pmuni0206.html
உனக்குத்,25,pmuni0206.html
அழைத்துப்,25,pmuni0206.html
உன்னை,25,pmuni0206.html
வண்டி,24,pmuni0206.html
இருக்கும்,24,pmuni0206.html
இருந்த,24,pmuni0206.html
இந்தக்,24,pmuni0206.html
எல்லாரும்,24,pmuni0206.html
சொன்னான்,24,pmuni0206.html
சிறிது,24,pmuni0206.html
அக்கா,24,pmuni0206.html
பேச்சு,23,pmuni0206.html
என்றால்,23,pmuni0206.html
முன்,23,pmuni0206.html
உள்ளே,23,pmuni0206.html
முதல்,22,pmuni0206.html
மணி,22,pmuni0206.html
கொண்டிருந்தது,22,pmuni0206.html
முடியவில்லை,22,pmuni0206.html
இல்லை;,22,pmuni0206.html
கோபம்,22,pmuni0206.html
சமயத்தில்,22,pmuni0206.html
இன்றைக்கு,22,pmuni0206.html
அதைப்,22,pmuni0206.html
முடியும்,22,pmuni0206.html
சூரியாவும்,22,pmuni0206.html
மாமியார்,21,pmuni0206.html
இன்னொரு,21,pmuni0206.html
பல,21,pmuni0206.html
போனால்,21,pmuni0206.html
அவளுக்கு,21,pmuni0206.html
அதனால்,21,pmuni0206.html
ஞாபகம்,21,pmuni0206.html
இருக்க,21,pmuni0206.html
தோன்றுகிறது,21,pmuni0206.html
பார்த்துவிட்டு,21,pmuni0206.html
செய்ய,21,pmuni0206.html
உண்மை,21,pmuni0206.html
பேசிக்,21,pmuni0206.html
நாங்கள்,21,pmuni0206.html
பெயர்,21,pmuni0206.html
சீதாவும்,20,pmuni0206.html
வந்தாள்,20,pmuni0206.html
தானே,20,pmuni0206.html
சீதாவை,20,pmuni0206.html
கூறினாள்,20,pmuni0206.html
சொல்லவில்லை,20,pmuni0206.html
உங்களுடைய,20,pmuni0206.html
எத்தனை,20,pmuni0206.html
இருந்து,20,pmuni0206.html
அழைத்துக்,20,pmuni0206.html
வீட்டில்,20,pmuni0206.html
ஆமாம்;,20,pmuni0206.html
விழுந்து,20,pmuni0206.html
காரணம்,19,pmuni0206.html
விட்டுப்,19,pmuni0206.html
வெளியே,19,pmuni0206.html
போன்ற,19,pmuni0206.html
ரயில்,19,pmuni0206.html
டில்லியில்,19,pmuni0206.html
விட்டது,19,pmuni0206.html
பார்த்தால்,19,pmuni0206.html
உண்டு,19,pmuni0206.html
அவனுக்கு,19,pmuni0206.html
முதலில்,19,pmuni0206.html
உங்களுக்கு,19,pmuni0206.html
திடீரென்று,19,pmuni0206.html
போட்டுக்,19,pmuni0206.html
மறந்து,19,pmuni0206.html
கேட்டுக்,19,pmuni0206.html
நடந்தது,18,pmuni0206.html
மேல்,18,pmuni0206.html
சேர்ந்து,18,pmuni0206.html
சண்டை,18,pmuni0206.html
விஷயத்தில்,18,pmuni0206.html
கேட்டது,18,pmuni0206.html
வேலை,18,pmuni0206.html
ஆனாலும்,18,pmuni0206.html
சொன்னால்,18,pmuni0206.html
எழுந்து,18,pmuni0206.html
சற்று,18,pmuni0206.html
எனக்குக்,18,pmuni0206.html
எவ்வளவோ,18,pmuni0206.html
அவளை,18,pmuni0206.html
குரல்,18,pmuni0206.html
தாமா,18,pmuni0206.html
போலீஸ்,17,pmuni0206.html
உட்கார்ந்து,17,pmuni0206.html
மீது,17,pmuni0206.html
மனம்,17,pmuni0206.html
அந்தச்,17,pmuni0206.html
சௌந்தரராகவன்,17,pmuni0206.html
அவளைப்,17,pmuni0206.html
காதல்,17,pmuni0206.html
ஐயோ,17,pmuni0206.html
நின்று,17,pmuni0206.html
இங்கிலீஷ்,17,pmuni0206.html
எண்ணிக்,17,pmuni0206.html
தெரிகிறது,17,pmuni0206.html
ராகவனும்,17,pmuni0206.html
நாளைக்கு,17,pmuni0206.html
அவர்களுடைய,17,pmuni0206.html
வரும்,17,pmuni0206.html
சீக்கிரம்,17,pmuni0206.html
அடுத்த,17,pmuni0206.html
கொண்டே,17,pmuni0206.html
போதும்,17,pmuni0206.html
சென்று,17,pmuni0206.html
வரவில்லை,17,pmuni0206.html
அத்தங்கா,17,pmuni0206.html
கை,17,pmuni0206.html
தெரிந்தது,17,pmuni0206.html
எங்கள்,17,pmuni0206.html
ரத்தின,17,pmuni0206.html
ரயில்வே,16,pmuni0206.html
என்னும்,16,pmuni0206.html
குழந்தை,16,pmuni0206.html
சொல்லிவிட்டு,16,pmuni0206.html
இடத்தில்,16,pmuni0206.html
போகலாம்,16,pmuni0206.html
அதன்,16,pmuni0206.html
காலம்,16,pmuni0206.html
