letters,count
ன்,1642
க,1564
ம்,1486
த,1365
த்,1230
ரு,1137
வ,1114
தி,1014
ப,921
க்,916
து,817
ர்,778
ல்,774
ய,766
ம,752
ப்,739
ந்,666
கு,629
ர,613
ட,598
ற்,585
ன,580
அ,523
ங்,513
ல,510
ண்,497
ள்,496
வி,448
ற,387
டு,385
மு,381
று,374
மா,360
ட்,360
பா,357
ரி,342
இ,338
யா,335
பு,333
கா,332
வா,318
யி,309
டி,304
ச,302
கி,296
தா,290
சி,287
லை,276
னை,271
எ,269
லா,267
ய்,263
ச்,260
ள,260
டை,258
றி,247
யு,246
ணி,231
பெ,229
கை,222
லி,220
செ,208
மை,206
உ,200
பி,194
;,191
னி,187
ண,184
னு,180
நா,175
னா,169
ளி,163
லு,163
ஞ்,160
வு,156
தை,155
ஆ,152
கொ,150
வே,147
றை,145
றா,139
வை,137
மி,135
மே,132
ழு,131
போ,130
ளை,128
கூ,127
தே,122
சு,121
பொ,119
ரா,117
ழ,117
ரை,116
ந,116
யை,105
மெ,103
வெ,101
சை,100
ஒ,100
சொ,100
தெ,99
நி,99
பூ,98
கோ,92
தோ,91
ழி,86
யெ,86
பே,84
ணை,77
சா,74
வீ,73
வ்,73
ழ்,70
யே,66
ளு,65
பை,64
டா,61
கே,61
லே,57
தொ,54
ஏ,53
மூ,53
நீ,50
ணா,47
ளா,47
ரெ,46
சோ,46
சே,43
னெ,43
மோ,40
தீ,40
லெ,37
சூ,36
மீ,35
யோ,35
நெ,34
சீ,33
றெ,33
மொ,33
ஓ,31
ழை,30
னோ,29
னே,28
தூ,26
ளெ,24
ணு,23
ரே,23
வோ,22
ரீ,22
ரோ,21
நூ,20
ஸ்,20
ஈ,19
டெ,19
றே,19
ரூ,18
யொ,18
வொ,17
ஐ,16
றொ,15
கெ,15
கீ,14
',14
றோ,14
ஊ,13
ளே,12
னீ,12
ங,12
நோ,11
ழா,11
ஞா,10
நே,10
{,9
},9
நு,9
யூ,8
லோ,8
டோ,8
யீ,7
டே,7
டீ,7
[,6
],6
ணெ,6
ஷ,6
ரொ,6
னூ,5
ளோ,5
‘,5
லீ,5
டொ,5
லொ,5
ஃ,5
ஸ,4
ஜ,4
ஷே,4
னொ,4
ழோ,3
வூ,3
ஞ,3
ணோ,3
லூ,3
பீ,3
ஞீ,3
றீ,3
ணீ,3
ஷி,2
றூ,2
கௌ,2
ணொ,2
ஞை,2
ளொ,2
ஷை,2
நை,2
﻿,1
&,1
ஹா,1
ஹோ,1
பி்,1
ஸோ,1
ஸௌ,1
ஹை,1
ஸா,1
ஜே,1
ழெ,1
ணே,1
ழீ,1
ணூ,1
ஷா,1
ஹ,1
நொ,1
ஷ்,1
’,1
டூ,1
ளீ,1
பௌ,1
