letters,count
க,7208
ம்,6975
ரு,5910
த,5845
ன்,5321
த்,5116
தி,4698
வ,4309
க்,4268
ப்,4038
து,3955
ர்,3908
ப,3870
ல்,3321
அ,3235
ன,3105
கு,3007
எ,3006
ந்,2844
ய,2555
ர,2477
ள்,2350
ட,2323
ம,2286
ல,2066
டி,2052
',1970
ற்,1937
பா,1801
ங்,1795
இ,1742
கி,1730
டு,1724
பு,1689
மு,1635
வி,1615
ரி,1593
ண்,1524
ற,1438
வா,1428
ட்,1396
சி,1391
று,1359
ச,1316
யா,1299
உ,1237
தா,1192
யி,1183
கா,1165
மா,1163
வே,1162
யு,1138
பி,1106
றி,1070
ண,1068
ள,1068
ய்,1040
லை,1033
ளி,972
ச்,955
பெ,923
ஆ,886
ரா,858
செ,824
னை,781
னு,748
மி,746
ழ்,724
தை,711
லி,693
நா,676
ளை,635
மை,632
நி,626
சு,617
கை,610
பொ,605
ரை,589
ழி,570
தே,563
லா,561
டை,561
[,560
;,552
ந,551
கொ,549
],544
யை,509
னி,503
ணி,498
றை,497
லு,495
வு,494
ஒ,484
ழு,468
கூ,465
ழ,438
போ,432
ஞ்,415
வை,395
கோ,372
ளு,353
னா,348
றா,326
யே,322
மே,318
னே,289
சே,284
ளா,271
தெ,264
சை,262
டா,250
தோ,248
பூ,247
ணை,242
வெ,237
நீ,231
சொ,228
நூ,206
நு,199
பே,196
தொ,191
ளே,190
வீ,189
சா,185
மூ,183
ஏ,180
யோ,170
ஓ,163
ழை,162
கே,154
வ்,149
மெ,148
&,143
ஸ்,142
ஞா,139
லூ,139
தீ,133
மொ,126
லே,116
தூ,114
சீ,109
நெ,108
ங,106
ணா,104
யூ,102
வோ,100
ணு,97
ஜ,97
ரீ,96
சூ,96
ஷ,96
யெ,92
பை,87
ரே,87
மோ,85
கீ,83
ஈ,79
றே,77
ஊ,69
ஐ,69
கெ,69
னோ,67
மீ,66
நோ,54
வூ,54
டே,52
ரூ,50
சோ,50
லோ,49
ழா,47
றோ,43
ரோ,40
ரெ,40
றெ,37
னெ,36
னூ,34
ஷ்,33
நே,32
லீ,32
யொ,30
ஷை,30
லெ,28
ஷே,27
ஜெ,26
டெ,25
னொ,24
ளோ,23
ஷி,23
ளூ,22
ளெ,21
ரொ,21
ஹா,21
டோ,20
லொ,17
ஜா,16
–,16
ஞ,15
நொ,14
வொ,14
ணெ,14
ஹ,14
பீ,13
னீ,13
றொ,13
ழே,12
‘,12
’,12
—,12
{,11
},11
டொ,10
”,10
“,9
ஜை,9
யீ,8
௸,8
ஜீ,7
மௌ,6
ஔ,6
ழெ,6
ரௌ,6
ளீ,5
றூ,4
நை,4
ஷு,4
ழோ,4
ஜ்,4
ஜே,4
ஹி,3
ஃ,3
ணொ,3
கௌ,3
ஜி,3
டீ,3
பௌ,2
ஷா,2
ணோ,2
ஜோ,2
ளு்,2
௵,2
ளொ,2
﻿,1
ஸ,1
ஸா,1
ணே,1
கொ,1
து்,1
வேி,1
ஷூ,1
ழூ,1
ஷெ,1
ே,1
ஹோ,1
ந்ௌ,1
ணூ,1
ரு்,1
ஞூ,1
௳,1
கு்,1
ஞை,1
தி்,1
டூ,1
ழொ,1
வி்,1
சௌ,1
பி்,1
