words,count,book
ā,786,pmuni0622_eng.html
“,342,pmuni0622_eng.html
”,320,pmuni0622_eng.html
’,260,pmuni0622_eng.html
ṇṇ,241,pmuni0622_eng.html
ṇ,124,pmuni0622_eng.html
ḍ,121,pmuni0622_eng.html
ṛ,113,pmuni0622_eng.html
ṭ,65,pmuni0622_eng.html
āṇ,58,pmuni0622_eng.html
‘,40,pmuni0622_eng.html
āā,32,pmuni0622_eng.html
—,30,pmuni0622_eng.html
ḷ,26,pmuni0622_eng.html
āḍ,23,pmuni0622_eng.html
ā’,21,pmuni0622_eng.html
ṛḍ,21,pmuni0622_eng.html
ṇḍ,18,pmuni0622_eng.html
ḷḷḍ,18,pmuni0622_eng.html
',14,pmuni0622_eng.html
ṭṭ,14,pmuni0622_eng.html
ṇāḍ,14,pmuni0622_eng.html
ḷḷ,13,pmuni0622_eng.html
},11,pmuni0622_eng.html
“āāṇ”,11,pmuni0622_eng.html
ḍā,11,pmuni0622_eng.html
ṇḍṇṇ,10,pmuni0622_eng.html
āḷḷ,10,pmuni0622_eng.html
ṭṭ”,9,pmuni0622_eng.html
ṭā,9,pmuni0622_eng.html
ḷḷḷ,9,pmuni0622_eng.html
āṇā”,9,pmuni0622_eng.html
ṇṇḍ,9,pmuni0622_eng.html
āḷā,8,pmuni0622_eng.html
ḷḷṛ,8,pmuni0622_eng.html
ṇṛ,8,pmuni0622_eng.html
{,7,pmuni0622_eng.html
–,6,pmuni0622_eng.html
āḷṇāḍ,6,pmuni0622_eng.html
;,5,pmuni0622_eng.html
āḷ,5,pmuni0622_eng.html
āṇā,5,pmuni0622_eng.html
ṇā,5,pmuni0622_eng.html
{;,4,pmuni0622_eng.html
āṇḍ,4,pmuni0622_eng.html
ā”,4,pmuni0622_eng.html
ṇṇ—,4,pmuni0622_eng.html
ā',3,pmuni0622_eng.html
ṇṭ,3,pmuni0622_eng.html
ḷḷā,3,pmuni0622_eng.html
ṇṇā,3,pmuni0622_eng.html
’”,3,pmuni0622_eng.html
ś,2,pmuni0622_eng.html
ḍāṇḍ,2,pmuni0622_eng.html
‘’,2,pmuni0622_eng.html
āṇ',2,pmuni0622_eng.html
āṇ’,2,pmuni0622_eng.html
āāṇ,2,pmuni0622_eng.html
“ṇṇ,2,pmuni0622_eng.html
āṛ,2,pmuni0622_eng.html
ṇāḷ,2,pmuni0622_eng.html
“ṇ,2,pmuni0622_eng.html
﻿,1,pmuni0622_eng.html
நாலாயிரத்,1,pmuni0622_eng.html
திவ்வியப்,1,pmuni0622_eng.html
பிரபந்தம்,1,pmuni0622_eng.html
ஆழ்வார்,1,pmuni0622_eng.html
பாசுரங்கள்,1,pmuni0622_eng.html
பாகம்,1,pmuni0622_eng.html
இரண்டாம்,1,pmuni0622_eng.html
ஆயிரம்,1,pmuni0622_eng.html
ஆங்கில,1,pmuni0622_eng.html
மொழிபெயர்ப்பு,1,pmuni0622_eng.html
கௌசல்யா,1,pmuni0622_eng.html
ஹார்ட்,1,pmuni0622_eng.html
&;,1,pmuni0622_eng.html
‘āāṇā’,1,pmuni0622_eng.html
Ā,1,pmuni0622_eng.html
“ā”,1,pmuni0622_eng.html
ṛāḷ,1,pmuni0622_eng.html
āṇṇ,1,pmuni0622_eng.html
āḍā,1,pmuni0622_eng.html
ḍṇṇ,1,pmuni0622_eng.html
āḷāḍ,1,pmuni0622_eng.html
ṭ’,1,pmuni0622_eng.html
“”,1,pmuni0622_eng.html
“ṇḍ”,1,pmuni0622_eng.html
&,1,pmuni0622_eng.html
“’,1,pmuni0622_eng.html
‘ṭ,1,pmuni0622_eng.html
‘ṇṇ,1,pmuni0622_eng.html
ṛḍ”,1,pmuni0622_eng.html
ṇḍāṇ,1,pmuni0622_eng.html
āṇṇ’,1,pmuni0622_eng.html
“āṇ,1,pmuni0622_eng.html
“ḍ,1,pmuni0622_eng.html
āṭā,1,pmuni0622_eng.html
“ā,1,pmuni0622_eng.html
