letters,count
ன்,2115
ம்,1916
ல்,1461
ர்,1317
க,1153
த,1005
க்,976
து,952
வ,863
அ,832
ற்,808
ப,785
கு,736
ண்,720
த்,709
இ,670
ந்,595
ப்,588
உ,583
ரு,577
ல,550
று,549
ற,546
ய,526
டு,487
ம,486
ள்,454
எ,450
மை,430
யா,428
றி,414
வி,406
கா,401
செ,396
வா,393
ய்,392
தா,387
லா,340
ந,331
ட,313
பி,305
பு,303
னு,275
ட்,273
தி,263
ங்,261
ன,252
டி,242
யி,241
னை,238
ரி,236
டை,221
ர,218
கொ,214
ள,209
றா,207
ஆ,204
ஒ,201
கி,200
பெ,192
ஞ்,189
கை,185
பொ,184
ச்,184
யு,182
லை,176
பா,175
மு,172
வே,171
மா,170
ழு,168
னா,158
ழ்,147
னி,145
சி,143
ண,142
ளி,138
நா,137
சொ,137
டா,136
நி,135
போ,129
ழி,126
ணி,122
தொ,121
நீ,121
வு,118
றை,117
நோ,117
லு,114
ரை,113
சா,105
லி,105
தே,100
ரா,98
ச,96
வை,96
தெ,92
தோ,92
சு,91
கெ,90
கே,89
ழ,86
பே,83
தூ,78
வெ,77
நெ,76
தீ,75
ஊ,69
ணு,69
ஏ,65
மே,64
ளா,64
மி,61
கோ,61
ணா,61
ழை,58
தை,58
கூ,56
ஃ,51
ஈ,49
றே,48
ணை,48
வ்,48
ளு,48
மெ,45
சே,41
பை,33
ளை,32
வீ,32
ஓ,32
றோ,32
ஞா,29
சூ,29
சை,26
யெ,26
லோ,25
றெ,24
ழா,22
யை,21
ரே,21
நு,20
ஐ,19
நூ,19
னோ,17
சீ,17
யே,17
பூ,15
னே,15
யொ,15
ணே,15
ணோ,15
சோ,14
பீ,14
ரெ,14
வோ,13
ளெ,13
லெ,13
கீ,13
னெ,12
மொ,12
டொ,12
மூ,12
டோ,12
டே,11
றொ,10
வொ,9
ழீ,9
வூ,9
னூ,8
ரீ,8
னொ,8
டெ,8
லே,8
ரோ,8
ளே,8
மோ,7
யோ,7
ஞ,7
லொ,6
ளொ,6
னீ,6
றூ,5
றீ,5
ணெ,5
நே,5
ணீ,4
நொ,4
லூ,4
ரொ,4
ணொ,4
ங,3
மீ,3
ளூ,2
ழொ,2
ரூ,2
டீ,1
லீ,1
டூ,1
யூ,1
ளீ,1
