words,count,book
படும்,42,thirukural_only
தரும்,37,thirukural_only
இல்,32,thirukural_only
கெடும்,28,thirukural_only
இல்லை,22,thirukural_only
செயல்,22,thirukural_only
என்னும்,22,thirukural_only
தலை,21,thirukural_only
எல்லாம்,21,thirukural_only
கொளல்,20,thirukural_only
காமம்,20,thirukural_only
பெறின்,19,thirukural_only
பவர்,19,thirukural_only
உலகு,18,thirukural_only
அரிது,18,thirukural_only
இன்பம்,18,thirukural_only
தவர்,18,thirukural_only
விடல்,18,thirukural_only
யவர்,18,thirukural_only
கண்ணும்,18,thirukural_only
விடும்,17,thirukural_only
கண்,17,thirukural_only
கடை,16,thirukural_only
தற்று,16,thirukural_only
செயின்,16,thirukural_only
வேண்டும்,15,thirukural_only
எஞ்ஞான்றும்,15,thirukural_only
நன்று,15,thirukural_only
நட்பு,15,thirukural_only
உடைத்து,14,thirukural_only
இன்மை,14,thirukural_only
வார்,13,thirukural_only
தார்,13,thirukural_only
பெருமை,13,thirukural_only
ஆற்றின்,13,thirukural_only
வரும்,13,thirukural_only
இன்னா,13,thirukural_only
மன்னவன்,13,thirukural_only
வேந்தன்,13,thirukural_only
ஆக்கம்,12,thirukural_only
பிற,12,thirukural_only
துணை,12,thirukural_only
கேண்மை,12,thirukural_only
நெஞ்சு,12,thirukural_only
இனிது,11,thirukural_only
என்பது,11,thirukural_only
செல்வம்,11,thirukural_only
என்று,11,thirukural_only
இடும்பை,10,thirukural_only
வாழ்க்கை,10,thirukural_only
செய்யும்,10,thirukural_only
சொல்,10,thirukural_only
கொல்லோ,10,thirukural_only
பேதைமை,10,thirukural_only
யாதெனின்,10,thirukural_only
வினை,10,thirukural_only
துன்பம்,10,thirukural_only
காணின்,10,thirukural_only
பேதை,10,thirukural_only
உலகம்,9,thirukural_only
நன்றி,9,thirukural_only
உள்ளம்,9,thirukural_only
எனின்,8,thirukural_only
உயிர்க்கு,8,thirukural_only
ஆயினும்,8,thirukural_only
ஆன்ற,8,thirukural_only
செய்யாமை,8,thirukural_only
அறிந்து,8,thirukural_only
செருக்கு,8,thirukural_only
சான்றோர்,8,thirukural_only
பவர்க்கு,8,thirukural_only
நோய்,8,thirukural_only
குற்றம்,8,thirukural_only
தில்,8,thirukural_only
நாடு,8,thirukural_only
படை,8,thirukural_only
காதலர்,8,thirukural_only
ஆற்றல்,7,thirukural_only
அதனை,7,thirukural_only
கேடு,7,thirukural_only
தொடர்பு,7,thirukural_only
உடைமை,7,thirukural_only
நாடி,7,thirukural_only
செயினும்,7,thirukural_only
ஏதம்,7,thirukural_only
பொறை,7,thirukural_only
ஆங்கே,7,thirukural_only
இன்னாது,7,thirukural_only
அஞ்சும்,7,thirukural_only
எல்லா,7,thirukural_only
யார்க்கும்,7,thirukural_only
கல்லா,7,thirukural_only
கண்ணோட்டம்,7,thirukural_only
அன்று,7,thirukural_only
தோள்,7,thirukural_only
மாலை,7,thirukural_only
தாகி,6,thirukural_only
துறந்தார்,6,thirukural_only
மாந்தர்,6,thirukural_only
வேண்டா,6,thirukural_only
ஒருவற்கு,6,thirukural_only
என்பான்,6,thirukural_only
அல்ல,6,thirukural_only
சிறப்பு,6,thirukural_only
யார்மாட்டும்,6,thirukural_only
அல்லவை,6,thirukural_only
பயக்கும்,6,thirukural_only
பெரிது,6,thirukural_only
கில்லை,6,thirukural_only
